ID,Section,Question,Translation,Translate ENG,Copy New,Sample Answer
183,Spouse,spouse_cash_savings_yes_no,Besitzt Ihr Ehepartner/Partner Bargeld?,Does your spouse/partnerr spouse/partner's spouse/partner has cash?,Hat Ihr Partner Bargeld?,
184,Spouse,spouse_cash_savings_amount,Wie viel Bargeld besitzen Ihr Ehepartner/Partner?,How much cash do your spouse/partner's spouse/partner has?,Wie viel Bargeld hat Ihr Partner?,
185,Spouse,spouse_bank_giro_yes_no,Besitzt Ihr Ehepartner/Partner Bankguthaben?,Does your spouse/partnerr spouse/partner's spouse/partner has bank balances?,Hat Ihr Partner Bankguthaben?,
186,Spouse,spouse_bank_giro_amount,Wie hoch ist das Bankguthaben?,What is the amount of your spouse/partner's bank balances?,Wie hoch ist das Bankguthaben Ihres Partners?,
187,Spouse,spouse_bank_savings_account_yes_no,Besitzt Ihr Ehepartner/Partner Sparguthaben?,Does your spouse/partnerr spouse/partner's spouse/partner has savings balances?,Hat Ihr Partner Sparguthaben?,
188,Spouse,spouse_bank_savings_account_amount,Wie hoch ist das Sparguthaben?,What is the amount of your spouse/partner's savings balances?,Wie hoch ist das Sparguthaben Ihres Partners?,
189,Spouse,spouse_bank_additional_account_yes_no,"Besitzt Ihr Ehepartner/Partner sonstige Kontoguthaben, z. B. Onlinekonten wie PayPal?","Does your spouse/partnerr spouse/partner's spouse/partner has other account balances, such as online accounts?","Hat Ihr Partner sonstige Kontoguthaben, z. B. PayPal?",
190,Spouse,spouse_bank_additional_account_amount,Wie hoch sind die sonstigen Kontoguthaben?,What is the amount of your spouse/partner's other account balances?,Wie hoch sind die sonstigen Kontoguthaben Ihres Partners?,
191,Spouse,spouse_funeral_insurance_yes_no,Hat Ihr Ehepartner/Partner Bestattungsvorsorgevertrag?,Does your spouse/partnerr spouse/partner's spouse/partner has a funeral provision contract?,Hat Ihr Partner einen Bestattungsvorsorgevertrag?,
192,Spouse,spouse_funeral_insurance_amount,Wie hoch ist der Betrag der Bestattungsvorsorgevertrag Ihres Ehepartners/Partners?,What is the amount of the funeral provision contract?,Wie hoch ist der Betrag des Bestattungsvorsorgevertrags Ihres Partners?,
193,Spouse,spouse_funeral_insurance_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
194,Spouse,spouse_life_insurance,Hat Ihr Ehepartner/Partner eine Kapital- oder Risikolebensversicherung?,Does your spouse/partnerr spouse/partner's spouse/partner has capital life insurance or term life insurance?,Hat Ihr Partner eine Kapital- oder Risikolebensversicherung?,
195,Spouse,spouse_life_insurance_total_amount,Wie hoch ist der Betrag der Lebensversicherung Ihres Ehepartners/Partners?,What is the amount of the life insurance policy?,Wie hoch ist der Betrag der Lebensversicherung Ihres Partners?,
196,Spouse,spouse_life_insurance_surrender_value,Wie hoch ist der aktuelle Rueckkaufswert der Lebensversicherung Ihres Ehepartners/Partners?,What is the current surrender value of the life insurance policy?,Wie hoch ist der aktuelle Rückkaufswert der Lebensversicherung Ihres Partners?,
197,Spouse,spouse_automobile_yes_no,Besitzt Ihr Ehepartner/Partner ein Kraftfahrzeug?,Does your spouse/partnerr spouse/partner's spouse/partner owns a vehicle?,Hat Ihr Partner ein Kraftfahrzeug?,
198,Spouse,spouse_automobile_numbers_plate,Wie lautet das amtliche Kennzeichen des Kraftfahrzeugs Ihres Ehepartners/Partners?,What is the vehicle's license plate number?,Welches amtliche Kennzeichen hat das Kraftfahrzeug Ihres Partners?,E-AB 1234
199,Spouse,spouse_automobile_year,Welches Baujahr hat das Kraftfahrzeug Ihres Ehepartners/Partners?,What year was the vehicle built?,Aus welchem Baujahr ist das Kraftfahrzeug Ihres Partners?,
200,Spouse,spouse_automobile_type,Welches Modell hat das Kraftfahrzeug Ihres Ehepartners/Partners?,What model is the vehicle?,Welches Fahrzeugmodell ist es?,Golf
201,Spouse,spouse_automobile_vehicle_type,Welchen Fahrzeugtyp hat das Kraftfahrzeug Ihres Ehepartners/Partners?,What type of vehicle is it?,Welches ist der Fahrzeugtyp?,VW
202,Spouse,spouse_automobile_mileage,Wie hoch ist der Kilometerstand des Kraftfahrzeugs Ihres Ehepartners/Partners?,What is the mileage of your spouse/partner's vehicle?,Wie hoch ist der Kilometerstand des Kraftfahrzeugs Ihres Partners?,
203,Spouse,spouse_property_yes_no,Besitzt Ihr Ehepartner/Partner Haus- oder Wohneigentum?,Does your spouse/partnerr spouse/partner's spouse/partner owns a house or apartment?,Hat Ihr Partner Haus- oder Wohneigentum?,
204,Spouse,spouse_property_notes,Bitte machen Sie Angaben zu Haus- oder Wohneigentum Ihres Ehepartners/Partners.,Please provide details about the house or apartment your spouse/partner's spouse/partner owns.,"Bitte geben Sie Adresse, Art und Nutzung des Haus- oder Wohneigentums Ihres Partners an.","Eigentumswohnung, Musterstraße 12, vermietet"
205,Spouse,spouse_additional_property_yes_no,Besitzt Ihr Ehepartner/Partner sonstigen Grundbesitz?,Does your spouse/partnerr spouse/partner's spouse/partner owns any other real estate?,Hat Ihr Partner sonstigen Grundbesitz?,
206,Spouse,spouse_additional_property_notes,Bitte machen Sie Angaben zu sonstigem Grundbesitz Ihres Ehepartners/Partners.,Please provide details about the other real estate.,"Bitte geben Sie Adresse, Art und Nutzung des sonstigen Grundbesitzes Ihres Partners an.","Garage, Musterstraße 12, vermietet"
207,Spouse,spouse_asset_transfer_yes_no,Wurde bei Ihrem Ehepartner/Partner in den letzten 10 Jahren vor Antragstellung Vermoegen auf andere Personen uebertragen?,Has any property or assets been transferred to another person in the last 10 years before the application?,Hat Ihr Partner in den letzten 10 Jahren Vermögen an andere Personen übertragen?,
208,Spouse,spouse_asset_transfer_date,Wann wurde das Vermoegen Ihres Ehepartners/Partners uebertragen?,When were the assets transferred?,Wann wurde das Vermögen Ihres Partners übertragen?,
209,Spouse,spouse_asset_transfer_amount,In welcher Hoehe wurde Vermoegen Ihres Ehepartners/Partners uebertragen?,What was the value of the transferred assets?,In welcher Höhe wurde Vermögen Ihres Partners übertragen?,
210,Spouse,spouse_bulk_topics,Treffen eine oder mehrere dieser eher seltenen Situationen auf den Ehepartner/Partner zu?,Do any of these less common situations apply to your spouse or partner?,Trifft eine dieser seltenen Situationen auf Ihren Partner zu?,
211,Spouse,spouse_commitment_declaration_date,Wann wurde die Verpflichtungserklaerung fuer Ihren Ehepartner/Partner abgegeben?,When was the declaration of commitment issued?,"Wann hat jemand bei der Ausländerbehörde unterschrieben, finanziell für Ihren Partner einzustehen?",
212,Spouse,spouse_prior_sgb_benefits_provider,Von wem hat Ihr Ehepartner/Partner diese Leistungen erhalten?,Which authority or provider paid these benefits?,Von welcher Stelle hat Ihr Partner diese Leistungen bekommen?,Jobcenter Essen
213,Spouse,spouse_prior_sgb_benefits_from,Seit wann hat Ihr Ehepartner/Partner diese Leistungen erhalten?,From when did your spouse/partner's spouse/partner receives these benefits?,Seit wann hat Ihr Partner diese Leistungen bekommen?,
214,Spouse,spouse_prior_sgb_benefits_until,Bis wann hat Ihr Ehepartner/Partner diese Leistungen erhalten?,Until when did your spouse/partner's spouse/partner receives these benefits?,Bis wann hat Ihr Partner diese Leistungen bekommen?,
215,Spouse,spouse_oeg_application_date,Wann wurde der Antrag Ihres Ehepartners/Partners nach dem Opferentschaedigungsgesetz gestellt?,When was the application under the Victim Compensation Act submitted?,Wann wurde der Antrag Ihres Partners nach dem Opferentschädigungsgesetz gestellt?,
216,Spouse,spouse_oeg_application_issuer,Bei welcher Stelle wurde der Antrag Ihres Ehepartners/Partners nach dem Opferentschaedigungsgesetz gestellt?,Which authority was the application under the Victim Compensation Act submitted to?,Bei welcher Stelle wurde der Antrag Ihres Partners nach dem Opferentschädigungsgesetz gestellt?,Versorgungsamt Essen
217,Spouse,spouse_foreign_pension_contributions_details,In welchem Staat und in welchem Zeitraum wurden fuer Ihren Ehepartner/Partner auslaendische Rentenbeitraege abgefuehrt?,In which country and during which period were foreign pension contributions paid?,In welchem Land und in welchem Zeitraum wurden für Ihren Partner ausländische Rentenbeiträge gezahlt?,"Türkei, 1975-1980"
218,Spouse,spouse_foreign_work_without_pension_contributions_details,"Bitte beschreiben Sie Zeitraum, Arbeitgeber und Verdienst der Auslandstaetigkeit Ihres Ehepartners/Partners ohne Rentenbeitraege.","Please describe the period, employer and earnings for the foreign work without pension contributions.","Wann und wo hat Ihr Partner im Ausland gearbeitet, ohne Rentenbeiträge zu zahlen?","Türkei, 1975-1980, Firma Yilmaz, ca. 800 EUR/Monat"
220,Spouse,spouse_social_security_contributions_amount,Wie hoch sind die monatlichen Sozialversicherungsbeitraege?,What is the monthly social security contribution amount?,Wie hoch sind die monatlichen Sozialversicherungsbeiträge Ihres Partners?,
224,Spouse,spouse_pension_contributions_amount,Wie hoch sind die monatlichen Altersvorsorgebeitraege?,What is the monthly pension provision contribution?,Wie hoch sind die monatlichen Altersvorsorgebeiträge?,
226,Spouse,spouse_securities_amount,Welchen Wert haben die Wertpapiere oder Aktien?,What is the value of your spouse/partner's securities or shares?,Welchen Wert haben die Wertpapiere oder Aktien Ihres Partners?,
227,Spouse,spouse_jewelry_metals_amount,Welchen Wert haben Schmuck oder Edelmetalle?,What is the value of the jewelry or precious metals?,Welchen Wert haben Schmuck oder Edelmetalle Ihres Partners?,
228,Spouse,spouse_additional_wealth_amount,Welchen Wert hat das sonstiges Vermoegen?,What is the value of your spouse/partner's other assets?,Welchen Wert hat das sonstige Vermögen Ihres Partners?,
229,Spouse,spouse_additional_wealth_type,Um welche Art von sonstigem Vermoegen Ihres Ehepartners/Partners handelt es sich?,What type of other asset is it?,Welche Art von sonstigem Vermögen hat Ihr Partner?,Schmuck
230,Spouse,spouse_state_subsidized_private_pension_amount,Wie hoch ist der Betrag der staatlich gefoerderte private Altersvorsorge (Riester-/Ruerup-Rente) Ihres Ehepartners/Partners?,What is the amount of the state-subsidized private pension provision?,Wie hoch ist der Betrag der staatlich geförderten privaten Altersvorsorge Ihres Partners?,
231,Spouse,spouse_state_subsidized_private_pension_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
232,Spouse,spouse_private_pension_amount,Wie hoch ist der Betrag der sonstige nicht gesetzliche private Altersvorsorge Ihres Ehepartners/Partners?,What is the amount of the other private pension provision?,Wie hoch ist der Betrag der sonstigen privaten Altersvorsorge Ihres Partners?,
233,Spouse,spouse_private_pension_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
234,Spouse,spouse_claims_against_third_parties_type,Um welche Forderung oder welchen Anspruch Ihres Ehepartners/Partners handelt es sich?,What type of claim or receivable is it?,Um welche Forderung oder welchen Anspruch Ihres Partners handelt es sich?,Darlehen an Privatperson
235,Spouse,spouse_claims_against_third_parties_amount,Wie hoch ist die Forderung oder der Anspruch Ihres Ehepartners/Partners?,What is the amount of the claim or receivable?,Wie hoch ist die Forderung oder der Anspruch Ihres Partners?,
236,Spouse,spouse_transfer_contract_claims_notes,Bitte beschreiben Sie die Ansprueche Ihres Ehepartners/Partners aus Uebertragsvertraegen.,Please describe the claims from transfer agreements.,"Hat Ihr Partner durch einen Vertrag noch Rechte an einem Haus, einer Wohnung oder einem Grundstück?",Ich darf weiterhin in der Wohnung wohnen
237,Spouse,spouse_inheritance_claims_notes,Bitte beschreiben Sie die Ansprueche Ihres Ehepartners/Partners aus Erbschaft.,Please describe the inheritance claims.,Erwartet Ihr Partner eine Erbschaft oder hat er noch Anspruch auf etwas aus einer Erbschaft?,Erbe nach verstorbener Mutter noch nicht ausgezahlt
238,Spouse,spouse_abroad_stay_period,In welchem Zeitraum hat Ihr Ehepartner/Partner im Ausland gelebt?,During which period did you live abroad?,In welchem Zeitraum hat Ihr Partner im Ausland gelebt?,
239,Spouse,spouse_abroad_stay_place,An welchem Wohnort im Ausland hat Ihr Ehepartner/Partner gelebt?,Where did you live abroad?,An welchem Wohnort im Ausland hat Ihr Partner gelebt?,Istanbul
240,Spouse,spouse_abroad_employment_details,War Ihr Ehepartner/Partner im Ausland erwerbstaetig? Bitte Zeitraum und Arbeitgeber angeben.,Was your spouse/partner employed abroad? Please provide the period and employer.,War Ihr Partner im Ausland berufstätig? Bitte nennen Sie Zeitraum und Arbeitgeber.,
